"Country Name","Country Code","Year","average_value_Adolescent fertility rate (births per 1,000 women ages 15-19)","average_value_Children in employment, female (% of female children ages 7-14)","average_value_Children in employment, male (% of male children ages 7-14)","average_value_Children in employment, study and work (% of children in employment, ages 7-14)","average_value_Children in employment, study and work, female (% of female children in employment, ages 7-14)","average_value_Children in employment, study and work, male (% of male children in employment, ages 7-14)","average_value_Children in employment, total (% of children ages 7-14)","average_value_Children in employment, work only (% of children in employment, ages 7-14)","average_value_Children in employment, work only, female (% of female children in employment, ages 7-14)","average_value_Children in employment, work only, male (% of male children in employment, ages 7-14)","average_value_Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","average_value_Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)","average_value_Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)","average_value_Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","average_value_Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)","average_value_Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","average_value_Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)","average_value_Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","average_value_Life expectancy at birth, female (years)","average_value_Life expectancy at birth, male (years)","average_value_Literacy rate, youth (ages 15-24), gender parity index (GPI)","average_value_Prevalence of HIV, female (% ages 15-24)","average_value_Prevalence of HIV, male (% ages 15-24)","average_value_Proportion of seats held by women in national parliaments (%)","average_value_Refugee population by country or territory of asylum","average_value_Refugee population by country or territory of origin","average_value_School enrollment, primary (gross), gender parity index (GPI)","average_value_School enrollment, primary and secondary (gross), gender parity index (GPI)","average_value_School enrollment, secondary (gross), gender parity index (GPI)","average_value_School enrollment, tertiary (gross), gender parity index (GPI)","average_value_Unemployment, female (% of female labor force) (modeled ILO estimate)","average_value_Unemployment, male (% of male labor force) (modeled ILO estimate)","average_value_Vulnerable employment, female (% of female employment) (modeled ILO estimate)","average_value_Vulnerable employment, male (% of male employment) (modeled ILO estimate)"
"Chad","TCD","2009","188.936","","","","","","","","","","58.28","58.93","58.61","63.91","64.34","79.64","79.43","71.85","51.608","49.095","","0.9","0.4","5.16129032258065","338495","54997","0.706709980964661","0.638329982757568","0.412759989500046","0.173209995031357","1.21","1.75","98.4999961853027","85.1999974250794"
"Europe & Central Asia (IDA & IBRD countries)","TEC","1971","45.0739131355151","","","","","","","","","","","","","","","","","","70.7678145576679","62.3487938149749","","","","","","","0.93889","","","1.11523997783661","","","",""
"Latin America & the Caribbean (IDA & IBRD countries)","TLA","1980","90.649237919719","","","","","","","","","","","","","","","","","","67.2020783766777","61.543523574349","0.999710023403168","","","","","","0.97986","1.00124","1.03863","0.741859972476959","","","",""
"South Asia (IDA & IBRD)","TSA","1989","105.963344488698","","","","","","","","","","","","","","","","","","58.0597513957909","57.3393098205336","0.652620017528534","","","","","","0.72247","0.66837","0.56592","0.466259986162186","","","",""
"Tuvalu","TUV","2009","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","",""
"Upper middle income","UMC","1976","42.9164139100321","","","","","","","","","","","","","","","","","","66.5950968431063","62.2741414310072","0.845709979534149","","","","","","0.88409","0.86281","0.81226","0.92263001203537","","","",""
"Uruguay","URY","1986","65.6624","","","","","","","","","","","","","","","","","","75.449","68.322","","","","","70","47","0.990490019321442","","","","","","",""
"Uruguay","URY","1993","69.9378","","","","","","","","","","47.08","66.85","57.11","46.88","56.11","75.35","84.83","70.15","77.04","69.368","","0.1","0.1","","131","164","0.985859990119934","","","","11.93","6.89","20.7800006866456","25.0500003695488"
"Vanuatu","VUT","2010","53.5948","","","","","","","","","","49.95","61.36","55.54","60.57","61.29","78.92","79.59","70.4","70.771","67.634","","","","3.84615384615385","5","","0.990580022335052","0.984220027923584","0.997889995574951","","1.57","2.07","74.9399991035462","65.2999999523163"
"Denmark","DNK","1967","43.969","","","","","","","","","","","","","","","","","","75.35","70.61","","","","","","","","","","","","","",""
"Gibraltar","GIB","1997","","","","","","","","","","","","","","","","","","","","","","","","","","","0.949050009250641","","","","","","",""
"Europe & Central Asia (IDA & IBRD countries)","TEC","1992","51.4977979752794","","","","","","","","","","43.0429076724886","55.5874221725017","49.3979395657705","53.2668989741982","61.9793830353463","72.9621001233321","78.5515273401517","70.093348014179","72.1792254136922","63.3016203086581","0.987909972667694","","","","1535364","1522061","0.97749","0.97504","0.97363","1.10020005702972","6.1319577587377","6.45117726322022","17.6669239421034","16.414721806327"
"Aruba","ABW","1977","55.37","","","","","","","","","","","","","","","","","","74.183","68.706","","","","","","","","","","","","","",""
"Africa Western and Central","AFW","1991","152.15723127367","","","","","","","","","","41.8897618461449","49.7191197336879","45.8167795729948","58.9714862235614","59.7871401908394","73.9760736533037","74.3056254336715","66.9970787032833","50.197495450348","47.6130285182099","","1.1386705109599","0.480260769351656","","1009734","1018249","","","","","4.03146759724524","4.52722403885953","92.6737781499596","83.5595136194903"
"Arab World","ARB","2020","","","","","","","","","","","","","","","","","","","","","","0.101063524256542","0.100907146746066","19.5469585136167","9284160","8867495","","","","","","","",""
"Argentina","ARG","2016","62.939","","","","","","","","","","30.46","46.39","38.54","48.7","56.38","72.88","79.69","67.86","79.583","72.768","1.00244998931885","0.1","0.1","35.7976653696498","3267","120","0.997640013694763","1.02081000804901","1.04553997516632","1.3965300321579","9.14","7.12","18.4299991130829","23.0200007557869"
"Argentina","ARG","2017","62.782","","","","","","","","","","30.68","45.99","38.45","49.37","57.17","72.73","79.63","68.23","79.726","72.924","","0.1","0.1","38.1322957198444","3332","121","0.99796998500824","1.01962995529175","1.04244995117188","1.39915001392365","9.46","7.53","19.0000004768372","23.320000231266"
"Armenia","ARM","1999","42.8924","","","","","","","","","","25.16","33.19","29.01","45.41","52.8","63.09","70.88","61.14","74.07","67.579","","0.1","0.1","3.05343511450382","296215","193228","1.11515998840332","","","","15.22","7.71","53.2799987792969","44.4400005340576"
"Antigua and Barbuda","ATG","1974","121.6552","","","","","","","","","","","","","","","","","","68.295","64.982","","","","","","","1.24354994297028","1.1679699420929","1.05545997619629","","","","",""
"Bangladesh","BGD","1978","196.4624","","","","","","","","","","","","","","","","","","50.901","52.023","","","","","164000","","0.606620013713837","","","0.166590005159378","","","",""
"Botswana","BWA","2004","50.5086","","","","","","","","","","36.71","45.78","41.19","52.34","54.11","67.74","68.5","61","53.481","48.995","","16.4","5.9","11.1111111111111","2831","5","0.985319972038269","1.00348997116089","1.04094994068146","0.858009994029999","24.24","19.63","26.8900008201599","21.1400003433227"
"Central Europe and the Baltics","CEB","1976","50.0126797237569","","","","","","","","","","","","","","","","","","73.739485218646","67.0799059548823","","","","","","","0.97763","0.99188","1.00273","1.08591997623444","","","",""
"China","CHN","1971","34.3538","","","","","","","","","","","","","","","","","","62.018","58.635","","","","","","70000","","","","","","","",""
"Cote d'Ivoire","CIV","2016","118.9842","","","","","","","","","","27","39.64","33.3","44.38","45.26","66.25","67.06","56.31","57.854","55.428","","1.2","0.7","9.16334661354582","1397","46811","0.896179974079132","0.833500027656555","0.718529999256134","0.679849982261658","3.38","2.09","85.109998703003","64.6499996185302"
"Comoros","COM","1989","114.5862","","","","","","","","","","","","","","","","","","57.747","54.591","","","","","","5","0.809660017490387","","","","","","",""
"Cayman Islands","CYM","2020","","","","","","","","","","","","","","","","","","","","","","","","","43","15","","","","","","","",""
"Algeria","DZA","2001","10.7178","","","","","","","","","","11.8","57.81","35.2","12.01","12.85","74.06","78.18","45.93","72.542","69.744","","0.1","0.1","3.42105263157895","169417","8399","0.918299973011017","0.974020004272461","1.06335997581482","","27.69","27.24","36.4399995803833","30.0599994659424"
"Algeria","DZA","2020","","","","","","","","","","","","","","","","","","","","","","0.1","0.1","25.7575757575758","97671","4693","","","","","","","",""
"Gambia, The","GMB","1988","174","","","","","","","","","","","","","","","","","","52.858","50.291","","","","","","","","","0.41185998916626","","","","",""
"Greece","GRC","1995","13.9564","","","","","","","","","","33.69","43.78","38.92","36.94","45.01","66.75","77.25","61.24","80.3","75","","0.1","0.1","","4428","221","1.01935994625092","1.01629996299744","1.01366996765137","1.04925000667572","13.94","6.28","41.7800006866455","38.6299982070923"
"Greece","GRC","2008","10.7582","","","","","","","","","","27.62","34.47","31.15","42.76","55.51","64.14","78.33","66.96","82.5","77.5","","0.1","0.1","14.6666666666667","2169","67","","","","","11.53","5.14","26.4299993515014","26.8300004005432"
"Guam","GUM","2008","45.4516","","","","","","","","","","43.64","64.44","54.19","54.95","60","77.82","81.97","71.2","80.452","74.787","","","","","","","","","","","10.36","7.97","9.33000016212463","9.07000029087066"
"High income","HIC","1969","40.6221201610811","","","","","","","","","","","","","","","","","","73.5823994452192","67.0632574453282","","","","","","","","","","","","","",""
"IDA & IBRD total","IBT","1969","86.0892838099947","","","","","","","","","","","","","","","","","","56.1556681123684","52.8480378357313","","","","","","","","","","","","","",""
"Isle of Man","IMN","1994","","","","","","","","","","","","","","","","","","","79.5","73.7","","","","","","","","","","","","","",""
"Iraq","IRQ","1971","126.1372","","","","","","","","","","","","","","","","","","58.623","59.041","","","","","","","0.427329987287521","0.426259994506836","0.424430012702942","0.307119995355606","","","",""
"Iceland","ISL","1996","23.9154","","","","","","","","","","61.96","66.78","64.41","69.56","79.87","81.53","88.5","84.24","81.18","76.49","","0.1","0.1","","232","5","1.0090399980545","0.9896399974823","0.971000015735626","1.32314002513885","3.45","3.73","7.45000004768372","13.589999884367"
"Kazakhstan","KAZ","1992","53.733","","","","","","","","","","50.8","57","53.98","65.4","72.82","77.93","81.68","77.17","72.3","62.4","","0.1","0.1","","","","1.07150995731354","","","","1.24","0.78","32.5499999523163","24.7500007152558"
"Kiribati","KIR","1972","54.271","","","","","","","","","","","","","","","","","","54.714","51.742","","","","","","","0.998769998550415","0.969290018081665","0.612909972667694","","","","",""
"Kuwait","KWT","1977","91.886","","","","","","","","","","","","","","","","","","70.279","67.4","","","","","","","0.852069973945618","0.863170027732849","0.866310000419617","1.3235000371933","","","",""
"St. Lucia","LCA","1989","110.3272","","","","","","","","","","","","","","","","","","72.527","69.045","","","","","","","0.932299971580505","","","","","","",""
"Latin America & Caribbean","LCN","1988","87.5732723052644","","","","","","","","","","","","","","","","","","70.73562636431","64.6094494091306","1.02265000343323","","","","","","0.98706","1.01038","1.04976","0.908200025558472","","","",""
"Least developed countries: UN classification","LDC","1977","150.436966327113","","","","","","","","","","","","","","","","","","47.5883914732644","45.4855281536389","","","","","","","0.67275","0.6271","0.43958","0.439099997282028","","","",""
"Low income","LIC","2001","125.073274000553","","","","","","","","","","51.7696799620312","61.734750156399","56.7634263640197","60.5360968039563","62.0502897615082","80.8426932444228","81.7076433356773","71.7412427627816","55.5200563828111","52.3060660715317","0.811420023441315","1.85786903520341","0.580161017232947","12.4803238138071","1947142","6717320","0.79987","0.76865","0.67445","0.514810025691986","4.75878801886228","5.26256858432992","89.8926881787664","78.9655559719955"
"Sri Lanka","LKA","1991","30.1386","","","","","","","","","","41.94","59.76","50.97","41.63","45.07","78.15","82.14","63.68","73.26","66.404","","0.1","0.1","","15","209349","0.966310024261475","1.02661001682281","1.09171998500824","","22.91","10.31","30.9599990844726","37.4099998474122"
"Latvia","LVA","1980","37.0622","","","","","","","","","","","","","","","","","","74.12","63.75","","","","","","","","","","","","","",""
"Macao SAR, China","MAC","1982","10.123","","","","","","","","","","","","","","","","","","76.721","72.521","","","","","970","","","","","","","","",""
"Moldova","MDA","2005","28.6804","","","","","","","","","","21.89","25.14","23.54","46.26","52.28","50.81","54.41","53.31","71.681","63.916","","0.1","0.2","21.7821782178218","79","12065","0.986240029335022","1.02450001239777","1.04314994812012","1.31326997280121","5.97","8.64","35.6200011968612","37.1199997067451"
"Middle East & North Africa (excluding high income)","MNA","1971","126.902093258131","","","","","","","","","","","","","","","","","","53.6821125036803","51.8373812187196","","","","","","","0.60594","0.57462","0.47999","0.442519992589951","","","",""
"Middle East & North Africa (excluding high income)","MNA","1972","124.50920871338","","","","","","","","","","","","","","","","","","54.3009661382072","52.4922477429549","0.59375","","","","","","0.61416","0.58318","0.49864","0.451290011405945","","","",""
"Middle East & North Africa (excluding high income)","MNA","2004","40.9516055878622","","","","","","","","","","16.141101999306","51.0765812637737","33.9000721673988","18.5071302177159","19.7117304158911","72.9928068870323","76.1349407048915","48.1581872561691","72.4217230194011","68.7322617665465","0.903490006923676","0.102705285238435","0.10132018883299","6.95721711315475","5699223","842951","0.91448","0.92003","0.92692","0.917339980602264","18.0118671846501","9.94071492412696","47.8155938237427","33.7125116761862"
"Middle East & North Africa (excluding high income)","MNA","2010","42.7653391761852","","","","","","","","","","13.5553891243686","48.2567475453326","31.1749869867269","18.3190982943507","19.5142302967278","71.887404217463","75.3235531949864","47.5376312083066","74.0695401689351","70.080212518118","0.928529977798462","0.10080525951288","0.100299068748176","10.9831709477414","7666702","1905168","0.93251","0.93674","0.94311","0.992449998855591","18.6965735582086","8.69372822351318","43.4037877964355","30.2444745652651"
"New Caledonia","NCL","1976","85.4692","","","","","","","","","","","","","","","","","","69","62.6","1.00978994369507","","","","","","","","","","","","",""
"Niger","NER","1972","216.45","","","","","","","","","","","","","","","","","","36.709","35.641","","","","","","","0.551569998264313","0.532379984855652","0.356669992208481","","","","",""
"Norway","NOR","1987","17.827","","","","","","","","","","","","","","","","","","79.58","72.75","","","","","15000","","1.00398004055023","1.02951002120972","1.05193996429443","1.09722995758057","","","",""
"Norway","NOR","2013","5.8594","","","","","","","","","","58.03","55.78","56.87","61.56","75.85","68.44","80.02","77.98","83.8","79.8","","","","39.6449704142012","46088","15","0.999040007591248","0.983449995517731","0.96968001127243","1.33397996425629","3.23","3.6","3.3700001090765","6.7399999499321"
"Other small states","OSS","1983","99.0314174892961","","","","","","","","","","","","","","","","","","63.095939832693","57.9205287288885","","","","","","","0.97498","0.96346","0.93211","0.939490020275116","","","",""
"Papua New Guinea","PNG","1984","86.6162","","","","","","","","","","","","","","","","","","56.098","53.229","","","","","10950","","0.813380002975464","0.773810029029846","0.570429980754852","0.306019991636276","","","",""
"Pacific island small states","PSS","1973","70.666430157528","","","","","","","","","","","","","","","","","","63.0124785404745","59.1406290373413","","","","","","","0.92141","0.92787","0.94212","0.741750001907349","","","",""
"Qatar","QAT","2012","11.268","","","","","","","","","","34.36","74.73","65.64","54.28","55.14","94.44","94.72","87.03","81.049","78.188","1.05922996997833","0.1","0.1","0","80","123","1.03771996498108","","","1.84233999252319","2.88","0.14","0.0199999995529652","0.230000007897615"
